TEAM_LEAD,Simona,Paulauskaite,EQUITY,0,1000;20000;3000
TRADER,Zhuo,He,EQUITY,10000,1000;20000;3000
TRADER,Joshua,Ekundayo,EQUITY,-10000,-1000;-20000;-30000
TRADER,Aamukta,Harvey,EQUITY,50,1000;20000;3000
TRADER,Aaron,Meek,EQUITY,250,1000;20000;3000
TRADER,Abdisalam,Tong,EQUITY,1250,1000;20000;3000
TRADER,Abhishek,Yuan,EQUITY,6250,1000;20000;3000
TRADER,Adam,Sardar,EQUITY,31250,1000;20000;3000
TRADER,Ahmed,Doak,EQUITY,31250,1000;20000;3000
TRADER,Aidan,Ling,EQUITY,-31250,1000;20000;3000
TEAM_LEAD,Aiden,McCaughey,RATE,0,-1000;-20000;-30000
TRADER,Alan,Yip,RATE,10000,1000;20000;3000
TRADER,Alasdair,Lindsay,RATE,-10000,1000;20000;3000
TRADER,Alexander,Gardiner,RATE,50,1000;20000;3000
TRADER,Ali,Findlay,RATE,250,1000;20000;3000
TRADER,Alvaro,Morrison,RATE,1250,1000;20000;3000
TRADER,Ameer,Lee,RATE,6250,1000;20000;3000
TRADER,Amy,Mohammed,RATE,31250,1000;20000;3000
TRADER,Andrew,Martinez Gutierrez,RATE,31250,-1000;-20000;-30000
TRADER,Andri,Azlan Shah,RATE,-31250,1000;20000;3000
TEAM_LEAD,Anthony,Creamer,COMMODITIES,0,1000;20000;3000
TRADER,Anzhe,Holligan,COMMODITIES,10000,1000;20000;3000
TRADER,Arda,King,COMMODITIES,-10000,1000;20000;3000
TRADER,Arif,Laing,COMMODITIES,50,1000;20000;3000
TRADER,Arman,May,COMMODITIES,250,1000;20000;3000
TEAM_LEAD,Arsalan,McGill,COMMODITIES,1250,1000;20000;3000
TRADER,Aryan,Shaw,COMMODITIES,6250,-1000;-20000;-30000
TRADER,Aysha,Wilson,COMMODITIES,31250,1000;20000;3000
TRADER,Bartosz,Qeleposhi,COMMODITIES,31250,1000;20000;3000
TRADER,Ben,Fung,COMMODITIES,-20000,1000;20000;3000
TEAM_LEAD,Berk,Han,ALGORITHMIC,0,1000;20000;3000
TRADER,Bin,Callialp,ALGORITHMIC,10000,1000;20000;3000
TRADER,Bobby,Shuaibu,ALGORITHMIC,-10000,1000;20000;3000
TRADER,Bogdan,Gonenc,ALGORITHMIC,50,1000;20000;3000
TRADER,Bohdan,Haidar,ALGORITHMIC,250,-1000;-20000;-30000
TEAM_LEAD,Boyang,Nair,ALGORITHMIC,1250,1000;20000;3000
TRADER,Caity,Koyappathody Manalthody,ALGORITHMIC,6250,1000;20000;3000
TRADER,Caleb,Zmuda,ALGORITHMIC,31250,1000;20000;3000
TRADER,Callum,Clydesdale,ALGORITHMIC,31250,1000;20000;3000
TRADER,Cameron,Whitehead,ALGORITHMIC,-20000,1000;20000;3000
